time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-08T22:35:24.300Z,36.0548333,-117.5971667,1.97,0.89,ml,9,109,0.0877,0.08,ci,ci38354672,2018-11-08T22:38:52.029Z,"31km ENE of Little Lake, CA",earthquake,0.31,0.58,0.147,9,automatic,ci,ci
2018-11-08T22:32:32.680Z,33.4818333,-116.5031667,16.26,0.88,ml,21,133,0.07897,0.27,ci,ci38354664,2018-11-08T22:36:06.013Z,"18km ESE of Anza, CA",earthquake,0.72,1.04,0.269,19,automatic,ci,ci
2018-11-08T22:25:24.100Z,60.1567,-141.4784,0,1.8,ml,,,,1.17,ak,ak20336006,2018-11-08T22:28:00.728Z,"53km E of Cape Yakataga, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-08T22:23:36.060Z,19.4058342,-155.290329,-0.21,1.73,md,13,82,0.009167,0.1,hv,hv70679846,2018-11-08T22:26:47.240Z,"6km WSW of Volcano, Hawaii",earthquake,0.15,0.32,0.17,8,automatic,hv,hv
2018-11-08T22:15:12.120Z,38.7903328,-122.7626648,0.94,0.48,md,7,92,0.01973,0.02,nc,nc73108491,2018-11-08T22:29:02.760Z,"2km NNW of The Geysers, CA",earthquake,0.34,0.69,0.03,2,automatic,nc,nc
2018-11-08T22:09:25.630Z,33.511,-116.7968333,3.94,0.1,ml,14,139,0.00324,0.12,ci,ci38354656,2018-11-08T22:21:54.452Z,"10km NE of Aguanga, CA",earthquake,0.36,0.46,0.096,8,reviewed,ci,ci
2018-11-08T22:07:38.780Z,34.1531667,-117.4748333,7.51,0.88,ml,27,66,0.0556,0.12,ci,ci38354648,2018-11-08T22:17:54.897Z,"6km NNW of Fontana, CA",earthquake,0.23,0.42,0.084,11,reviewed,ci,ci
2018-11-08T21:58:50.720Z,38.7733345,-122.7713318,9.08,1.55,md,9,175,0.02937,0.07,nc,nc73108486,2018-11-08T22:13:03.670Z,"1km WSW of The Geysers, CA",earthquake,1.41,4.46,0.52,2,automatic,nc,nc
2018-11-08T21:19:47.340Z,45.8603333,-111.345,4.03,1.76,ml,15,89,0.304,0.17,mb,mb80322894,2018-11-08T21:30:26.300Z,"1km WNW of Manhattan, Montana",earthquake,0.44,12.3,0.085,6,reviewed,mb,mb
2018-11-08T21:17:27.180Z,38.7874985,-122.7433319,1.34,1.19,md,10,85,0.006691,0.02,nc,nc73108481,2018-11-08T21:32:03.492Z,"2km NE of The Geysers, CA",earthquake,0.25,0.57,0.15,2,automatic,nc,nc
2018-11-08T21:07:01.580Z,-34.3517,116.87,10,5,mb,,66,1.453,1.08,us,us1000hpej,2018-11-08T22:43:06.888Z,"63km SSW of Kojonup, Australia",earthquake,8,1.9,0.085,45,reviewed,us,us
2018-11-08T21:06:13.228Z,63.8402,-149.3208,128.5,1.9,ml,,,,0.32,ak,ak20335898,2018-11-08T21:10:02.309Z,"17km W of Healy, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-11-08T20:55:33.770Z,36.0908333,-117.6595,1.56,1.15,ml,15,51,0.1017,0.09,ci,ci38354576,2018-11-08T21:12:14.120Z,"26km E of Coso Junction, CA",earthquake,0.14,0.26,0.212,11,reviewed,ci,ci
2018-11-08T20:20:35.330Z,38.7888336,-122.7444992,1.21,1.79,md,14,56,0.008255,0.03,nc,nc73108466,2018-11-08T20:52:03.215Z,"2km NE of The Geysers, CA",earthquake,0.24,0.49,0.17,5,automatic,nc,nc
2018-11-08T20:16:17.330Z,45.9081667,-111.4148333,-2,1.49,ml,7,176,0.281,0.05,mb,mb80322844,2018-11-08T21:59:24.410Z,"8km NW of Manhattan, Montana",quarry blast,0.54,31.61,0.323,5,reviewed,mb,mb
2018-11-08T20:14:45.710Z,33.6603333,-116.7336667,14.51,0.87,ml,22,94,0.05066,0.07,ci,ci38354528,2018-11-08T20:26:31.352Z,"9km S of Idyllwild, CA",earthquake,0.18,0.31,0.164,21,reviewed,ci,ci
2018-11-08T19:45:34.140Z,33.8203333,-117.6656667,5.56,0.8,ml,7,230,0.05334,0.16,ci,ci38354488,2018-11-08T20:04:05.261Z,"11km WSW of Corona, CA",earthquake,0.67,0.89,0.015,3,reviewed,ci,ci
2018-11-08T19:29:57.447Z,61.7518,-151.3002,29,1.9,ml,,,,1.29,ak,ak20335892,2018-11-08T19:34:34.824Z,"66km W of Willow, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-08T19:03:42.849Z,57.3909,-153.4153,3.7,2.1,ml,,,,0.53,ak,ak20335889,2018-11-08T19:06:44.004Z,"37km ESE of Larsen Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-08T18:56:38.354Z,37.0682,-117.7838,13.2,1,ml,5,215.71,0.198,0.0873,nn,nn00664745,2018-11-08T19:17:16.340Z,"46km ESE of Big Pine, California",earthquake,,11,0.51,4,reviewed,nn,nn
